product,date,age,gender,incentivized_review,is_ratings_only,is_recommended,locale,location,quality_rating,rating,value_rating
nescafe-fine-blend,2016-08-17 13:54:17,45to54,Female,False,False,True,en_GB,"Hampshire, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2016-07-05 16:19:07,25to34,Male,False,False,True,en_GB,London,3.0,3,3.0
nescafe-fine-blend,2016-08-17 13:41:39,45to54,Male,False,False,,en_GB,Surrey,5.0,5,5.0
nescafe-fine-blend,2016-08-17 14:24:02,35to44,Male,False,False,True,en_GB,Bath uk,5.0,5,5.0
nescafe-fine-blend,2016-08-17 14:04:07,65orOver,Male,False,False,True,en_GB,"Belfast, Northern Ireland, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2016-08-17 14:27:37,45to54,Female,False,False,True,en_GB,North east,5.0,5,5.0
nescafe-fine-blend,2017-07-25 20:37:37,25to34,Male,False,False,True,en_GB,"Manchester, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2017-09-27 09:17:18,35to44,Female,False,False,True,en_GB,"Liverpool, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2016-08-17 13:44:37,35to44,Female,False,False,True,en_GB,"Bolton, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2016-09-14 15:14:57,65orOver,Female,False,False,True,en_GB,"Nottingham, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2016-08-17 14:23:39,55to64,Female,False,False,True,en_GB,Liverpool,5.0,5,5.0
nescafe-fine-blend,2016-08-17 16:08:38,55to64,Female,False,False,True,en_GB,"Sheffield, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2016-08-17 14:39:22,65orOver,Male,False,False,True,en_GB,Royston Herts,4.0,4,4.0
nescafe-fine-blend,2016-09-15 00:25:15,35to44,Female,False,False,True,en_GB,tipton west midlands,5.0,5,5.0
nescafe-fine-blend,2016-08-17 16:09:32,25to34,Female,False,False,True,en_GB,Slough Berkshire,3.0,4,5.0
nescafe-fine-blend,2016-08-18 06:59:59,25to34,Female,False,False,True,en_GB,"Glossop, derbyshire",5.0,5,5.0
nescafe-fine-blend,2016-09-14 14:04:23,45to54,Male,False,False,True,en_GB,"London, United Kingdom",4.0,4,4.0
nescafe-fine-blend,2016-08-17 21:38:17,35to44,Female,False,False,True,en_GB,Edinburgh,5.0,4,5.0
nescafe-fine-blend,2016-08-24 12:50:29,45to54,Female,False,False,False,en_GB,"Chepstow, United Kingdom",4.0,4,5.0
nescafe-fine-blend,2016-08-17 13:21:27,25to34,Female,False,False,True,en_GB,"County Durham, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2016-08-17 13:17:09,55to64,Female,False,False,True,en_GB,"Wales, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2016-09-14 14:53:01,18to24,Male,False,False,True,en_GB,"Spalding, United Kingdom",5.0,5,5.0
nescafe-fine-blend,2016-08-17 15:19:37,65orOver,Male,False,False,True,en_GB,"Bolton, Lancashire",5.0,5,5.0
nescafe-fine-blend,2016-08-17 21:06:24,35to44,Female,False,False,True,en_GB,Wiltshire,4.0,5,4.0
nescafe-fine-blend,2016-09-15 21:15:17,55to64,Male,False,False,True,en_GB,"Hertfordshire, United Kingdom",4.0,4,5.0
nescafe-fine-blend,2016-08-29 06:20:30,55to64,Female,False,False,True,en_GB,"Edinburgh, Scotland, United Kingdom",5.0,5,5.0
